sample_id,node_id,lat,lon,basin,target_date,window_start,window_end,label,severity,purpose,event_id,chip_half_km,tabular_key
S000014,ATT_GAM,7.092,79.994,AttanagaluOya,2023-10-21,2023-10-15,2023-10-27,1,high,flood_peak,ATT_GAM_20231021,3.2,ATT_GAM_2023-10-21
S000015,ATT_GAM,7.092,79.994,AttanagaluOya,2023-10-18,2023-10-12,2023-10-20,1,high,pre_event,ATT_GAM_20231021,3.2,ATT_GAM_2023-10-18
S000016,ATT_GAM,7.092,79.994,AttanagaluOya,2023-11-05,2023-10-30,2023-11-11,1,high,flood_peak,ATT_GAM_20231104,3.2,ATT_GAM_2023-11-05
S000017,ATT_GAM,7.092,79.994,AttanagaluOya,2023-11-01,2023-10-26,2023-11-03,1,high,pre_event,ATT_GAM_20231104,3.2,ATT_GAM_2023-11-01
S000018,ATT_GAM,7.092,79.994,AttanagaluOya,2023-11-23,2023-11-17,2023-11-29,1,high,flood_peak,ATT_GAM_20231122,3.2,ATT_GAM_2023-11-23
S000019,ATT_GAM,7.092,79.994,AttanagaluOya,2023-11-19,2023-11-13,2023-11-21,1,high,pre_event,ATT_GAM_20231122,3.2,ATT_GAM_2023-11-19
S000020,ATT_GAM,7.092,79.994,AttanagaluOya,2024-05-27,2024-05-21,2024-06-02,1,high,flood_peak,ATT_GAM_20240521,3.2,ATT_GAM_2024-05-27
S000021,ATT_GAM,7.092,79.994,AttanagaluOya,2024-05-18,2024-05-12,2024-05-20,1,high,pre_event,ATT_GAM_20240521,3.2,ATT_GAM_2024-05-18
S000022,ATT_GAM,7.092,79.994,AttanagaluOya,2024-11-30,2024-11-24,2024-12-06,1,high,flood_peak,ATT_GAM_20241128,3.2,ATT_GAM_2024-11-30
S000023,ATT_GAM,7.092,79.994,AttanagaluOya,2024-11-25,2024-11-19,2024-11-27,1,high,pre_event,ATT_GAM_20241128,3.2,ATT_GAM_2024-11-25
S000024,ATT_JAE,7.074,79.892,AttanagaluOya,2015-10-18,2015-10-12,2015-10-24,1,severe,flood_peak,ATT_JAE_20151016,3.2,ATT_JAE_2015-10-18
S000025,ATT_JAE,7.074,79.892,AttanagaluOya,2015-10-13,2015-10-07,2015-10-15,1,severe,pre_event,ATT_JAE_20151016,3.2,ATT_JAE_2015-10-13
S000026,ATT_JAE,7.074,79.892,AttanagaluOya,2016-05-15,2016-05-09,2016-05-21,1,severe,flood_peak,ATT_JAE_20160515,3.2,ATT_JAE_2016-05-15
S000027,ATT_JAE,7.074,79.892,AttanagaluOya,2016-05-12,2016-05-06,2016-05-14,1,severe,pre_event,ATT_JAE_20160515,3.2,ATT_JAE_2016-05-12
S000028,ATT_JAE,7.074,79.892,AttanagaluOya,2016-11-19,2016-11-13,2016-11-25,1,high,flood_peak,ATT_JAE_20161119,3.2,ATT_JAE_2016-11-19
S000029,ATT_JAE,7.074,79.892,AttanagaluOya,2016-11-16,2016-11-10,2016-11-18,1,high,pre_event,ATT_JAE_20161119,3.2,ATT_JAE_2016-11-16
S000030,ATT_JAE,7.074,79.892,AttanagaluOya,2017-10-31,2017-10-25,2017-11-06,1,high,flood_peak,ATT_JAE_20171030,3.2,ATT_JAE_2017-10-31
S000031,ATT_JAE,7.074,79.892,AttanagaluOya,2017-10-27,2017-10-21,2017-10-29,1,high,pre_event,ATT_JAE_20171030,3.2,ATT_JAE_2017-10-27
S000032,ATT_JAE,7.074,79.892,AttanagaluOya,2017-11-05,2017-10-30,2017-11-11,1,high,flood_peak,ATT_JAE_20171105,3.2,ATT_JAE_2017-11-05
S000033,ATT_JAE,7.074,79.892,AttanagaluOya,2017-11-02,2017-10-27,2017-11-04,1,high,pre_event,ATT_JAE_20171105,3.2,ATT_JAE_2017-11-02
S000034,ATT_JAE,7.074,79.892,AttanagaluOya,2017-11-30,2017-11-24,2017-12-06,1,high,flood_peak,ATT_JAE_20171130,3.2,ATT_JAE_2017-11-30
S000035,ATT_JAE,7.074,79.892,AttanagaluOya,2017-11-27,2017-11-21,2017-11-29,1,high,pre_event,ATT_JAE_20171130,3.2,ATT_JAE_2017-11-27
S000036,ATT_JAE,7.074,79.892,AttanagaluOya,2018-06-07,2018-06-01,2018-06-13,1,high,flood_peak,ATT_JAE_20180607,3.2,ATT_JAE_2018-06-07
S000037,ATT_JAE,7.074,79.892,AttanagaluOya,2018-06-04,2018-05-29,2018-06-06,1,high,pre_event,ATT_JAE_20180607,3.2,ATT_JAE_2018-06-04
S000038,ATT_JAE,7.074,79.892,AttanagaluOya,2018-09-30,2018-09-24,2018-10-06,1,severe,flood_peak,ATT_JAE_20180929,3.2,ATT_JAE_2018-09-30
S000039,ATT_JAE,7.074,79.892,AttanagaluOya,2018-09-26,2018-09-20,2018-09-28,1,severe,pre_event,ATT_JAE_20180929,3.2,ATT_JAE_2018-09-26
S000040,ATT_JAE,7.074,79.892,AttanagaluOya,2018-10-24,2018-10-18,2018-10-30,1,high,flood_peak,ATT_JAE_20181024,3.2,ATT_JAE_2018-10-24
S000041,ATT_JAE,7.074,79.892,AttanagaluOya,2018-10-21,2018-10-15,2018-10-23,1,high,pre_event,ATT_JAE_20181024,3.2,ATT_JAE_2018-10-21
S000042,ATT_JAE,7.074,79.892,AttanagaluOya,2019-10-15,2019-10-09,2019-10-21,1,severe,flood_peak,ATT_JAE_20191015,3.2,ATT_JAE_2019-10-15
S000043,ATT_JAE,7.074,79.892,AttanagaluOya,2019-10-12,2019-10-06,2019-10-14,1,severe,pre_event,ATT_JAE_20191015,3.2,ATT_JAE_2019-10-12
S000044,ATT_JAE,7.074,79.892,AttanagaluOya,2019-10-20,2019-10-14,2019-10-26,1,high,flood_peak,ATT_JAE_20191020,3.2,ATT_JAE_2019-10-20
S000045,ATT_JAE,7.074,79.892,AttanagaluOya,2019-10-17,2019-10-11,2019-10-19,1,high,pre_event,ATT_JAE_20191020,3.2,ATT_JAE_2019-10-17
S000046,ATT_JAE,7.074,79.892,AttanagaluOya,2019-12-22,2019-12-16,2019-12-28,1,high,flood_peak,ATT_JAE_20191220,3.2,ATT_JAE_2019-12-22
S000047,ATT_JAE,7.074,79.892,AttanagaluOya,2019-12-17,2019-12-11,2019-12-19,1,high,pre_event,ATT_JAE_20191220,3.2,ATT_JAE_2019-12-17
S000048,ATT_JAE,7.074,79.892,AttanagaluOya,2020-08-09,2020-08-03,2020-08-15,1,high,flood_peak,ATT_JAE_20200809,3.2,ATT_JAE_2020-08-09
S000049,ATT_JAE,7.074,79.892,AttanagaluOya,2020-08-06,2020-07-31,2020-08-08,1,high,pre_event,ATT_JAE_20200809,3.2,ATT_JAE_2020-08-06
S000050,ATT_JAE,7.074,79.892,AttanagaluOya,2021-01-13,2021-01-07,2021-01-19,1,high,flood_peak,ATT_JAE_20210113,3.2,ATT_JAE_2021-01-13
S000051,ATT_JAE,7.074,79.892,AttanagaluOya,2021-01-10,2021-01-04,2021-01-12,1,high,pre_event,ATT_JAE_20210113,3.2,ATT_JAE_2021-01-10
S000052,ATT_JAE,7.074,79.892,AttanagaluOya,2021-10-29,2021-10-23,2021-11-04,1,high,flood_peak,ATT_JAE_20211029,3.2,ATT_JAE_2021-10-29
S000053,ATT_JAE,7.074,79.892,AttanagaluOya,2021-10-26,2021-10-20,2021-10-28,1,high,pre_event,ATT_JAE_20211029,3.2,ATT_JAE_2021-10-26
S000054,ATT_JAE,7.074,79.892,AttanagaluOya,2021-11-09,2021-11-03,2021-11-15,1,severe,flood_peak,ATT_JAE_20211108,3.2,ATT_JAE_2021-11-09
S000055,ATT_JAE,7.074,79.892,AttanagaluOya,2021-11-05,2021-10-30,2021-11-07,1,severe,pre_event,ATT_JAE_20211108,3.2,ATT_JAE_2021-11-05
S000056,ATT_JAE,7.074,79.892,AttanagaluOya,2022-05-14,2022-05-08,2022-05-20,1,high,flood_peak,ATT_JAE_20220514,3.2,ATT_JAE_2022-05-14
S000057,ATT_JAE,7.074,79.892,AttanagaluOya,2022-05-11,2022-05-05,2022-05-13,1,high,pre_event,ATT_JAE_20220514,3.2,ATT_JAE_2022-05-11
S000058,ATT_JAE,7.074,79.892,AttanagaluOya,2023-10-21,2023-10-15,2023-10-27,1,high,flood_peak,ATT_JAE_20231021,3.2,ATT_JAE_2023-10-21
S000059,ATT_JAE,7.074,79.892,AttanagaluOya,2023-10-18,2023-10-12,2023-10-20,1,high,pre_event,ATT_JAE_20231021,3.2,ATT_JAE_2023-10-18
S000060,ATT_JAE,7.074,79.892,AttanagaluOya,2023-11-05,2023-10-30,2023-11-11,1,high,flood_peak,ATT_JAE_20231105,3.2,ATT_JAE_2023-11-05
S000061,ATT_JAE,7.074,79.892,AttanagaluOya,2023-11-02,2023-10-27,2023-11-04,1,high,pre_event,ATT_JAE_20231105,3.2,ATT_JAE_2023-11-02
S000062,ATT_JAE,7.074,79.892,AttanagaluOya,2024-05-21,2024-05-15,2024-05-27,1,high,flood_peak,ATT_JAE_20240520,3.2,ATT_JAE_2024-05-21
S000063,ATT_JAE,7.074,79.892,AttanagaluOya,2024-05-17,2024-05-11,2024-05-19,1,high,pre_event,ATT_JAE_20240520,3.2,ATT_JAE_2024-05-17
S000064,ATT_JAE,7.074,79.892,AttanagaluOya,2024-06-03,2024-05-28,2024-06-09,1,high,flood_peak,ATT_JAE_20240603,3.2,ATT_JAE_2024-06-03
S000065,ATT_JAE,7.074,79.892,AttanagaluOya,2024-05-31,2024-05-25,2024-06-02,1,high,pre_event,ATT_JAE_20240603,3.2,ATT_JAE_2024-05-31
S000066,ATT_JAE,7.074,79.892,AttanagaluOya,2024-08-18,2024-08-12,2024-08-24,1,high,flood_peak,ATT_JAE_20240818,3.2,ATT_JAE_2024-08-18
S000067,ATT_JAE,7.074,79.892,AttanagaluOya,2024-08-15,2024-08-09,2024-08-17,1,high,pre_event,ATT_JAE_20240818,3.2,ATT_JAE_2024-08-15
S000068,ATT_JAE,7.074,79.892,AttanagaluOya,2024-10-12,2024-10-06,2024-10-18,1,high,flood_peak,ATT_JAE_20241012,3.2,ATT_JAE_2024-10-12
S000069,ATT_JAE,7.074,79.892,AttanagaluOya,2024-10-09,2024-10-03,2024-10-11,1,high,pre_event,ATT_JAE_20241012,3.2,ATT_JAE_2024-10-09
S000070,ATT_JAE,7.074,79.892,AttanagaluOya,2024-10-15,2024-10-09,2024-10-21,1,high,flood_peak,ATT_JAE_20241015,3.2,ATT_JAE_2024-10-15
S000071,ATT_JAE,7.074,79.892,AttanagaluOya,2024-10-12,2024-10-06,2024-10-14,1,high,pre_event,ATT_JAE_20241015,3.2,ATT_JAE_2024-10-12
S000072,ATT_JAE,7.074,79.892,AttanagaluOya,2024-11-30,2024-11-24,2024-12-06,1,high,flood_peak,ATT_JAE_20241127,3.2,ATT_JAE_2024-11-30
S000073,ATT_JAE,7.074,79.892,AttanagaluOya,2024-11-24,2024-11-18,2024-11-26,1,high,pre_event,ATT_JAE_20241127,3.2,ATT_JAE_2024-11-24
S000074,ATT_NIT,7.141,80.098,AttanagaluOya,2015-10-20,2015-10-14,2015-10-26,1,severe,flood_peak,ATT_NIT_20151018,3.2,ATT_NIT_2015-10-20
S000075,ATT_NIT,7.141,80.098,AttanagaluOya,2015-10-15,2015-10-09,2015-10-17,1,severe,pre_event,ATT_NIT_20151018,3.2,ATT_NIT_2015-10-15
S000076,ATT_NIT,7.141,80.098,AttanagaluOya,2016-05-15,2016-05-09,2016-05-21,1,severe,flood_peak,ATT_NIT_20160515,3.2,ATT_NIT_2016-05-15
S000077,ATT_NIT,7.141,80.098,AttanagaluOya,2016-05-12,2016-05-06,2016-05-14,1,severe,pre_event,ATT_NIT_20160515,3.2,ATT_NIT_2016-05-12
S000078,ATT_NIT,7.141,80.098,AttanagaluOya,2017-10-31,2017-10-25,2017-11-06,1,high,flood_peak,ATT_NIT_20171031,3.2,ATT_NIT_2017-10-31
S000079,ATT_NIT,7.141,80.098,AttanagaluOya,2017-10-28,2017-10-22,2017-10-30,1,high,pre_event,ATT_NIT_20171031,3.2,ATT_NIT_2017-10-28
S000080,ATT_NIT,7.141,80.098,AttanagaluOya,2017-11-05,2017-10-30,2017-11-11,1,high,flood_peak,ATT_NIT_20171104,3.2,ATT_NIT_2017-11-05
S000081,ATT_NIT,7.141,80.098,AttanagaluOya,2017-11-01,2017-10-26,2017-11-03,1,high,pre_event,ATT_NIT_20171104,3.2,ATT_NIT_2017-11-01
S000082,ATT_NIT,7.141,80.098,AttanagaluOya,2019-10-16,2019-10-10,2019-10-22,1,severe,flood_peak,ATT_NIT_20191015,3.2,ATT_NIT_2019-10-16
S000083,ATT_NIT,7.141,80.098,AttanagaluOya,2019-10-12,2019-10-06,2019-10-14,1,severe,pre_event,ATT_NIT_20191015,3.2,ATT_NIT_2019-10-12
S000084,ATT_NIT,7.141,80.098,AttanagaluOya,2020-11-16,2020-11-10,2020-11-22,1,high,flood_peak,ATT_NIT_20201115,3.2,ATT_NIT_2020-11-16
S000085,ATT_NIT,7.141,80.098,AttanagaluOya,2020-11-12,2020-11-06,2020-11-14,1,high,pre_event,ATT_NIT_20201115,3.2,ATT_NIT_2020-11-12
S000086,ATT_NIT,7.141,80.098,AttanagaluOya,2021-11-09,2021-11-03,2021-11-15,1,high,flood_peak,ATT_NIT_20211108,3.2,ATT_NIT_2021-11-09
S000087,ATT_NIT,7.141,80.098,AttanagaluOya,2021-11-05,2021-10-30,2021-11-07,1,high,pre_event,ATT_NIT_20211108,3.2,ATT_NIT_2021-11-05
S000088,ATT_NIT,7.141,80.098,AttanagaluOya,2023-10-21,2023-10-15,2023-10-27,1,high,flood_peak,ATT_NIT_20231021,3.2,ATT_NIT_2023-10-21
S000089,ATT_NIT,7.141,80.098,AttanagaluOya,2023-10-18,2023-10-12,2023-10-20,1,high,pre_event,ATT_NIT_20231021,3.2,ATT_NIT_2023-10-18
S000090,ATT_NIT,7.141,80.098,AttanagaluOya,2023-11-05,2023-10-30,2023-11-11,1,high,flood_peak,ATT_NIT_20231104,3.2,ATT_NIT_2023-11-05
S000091,ATT_NIT,7.141,80.098,AttanagaluOya,2023-11-01,2023-10-26,2023-11-03,1,high,pre_event,ATT_NIT_20231104,3.2,ATT_NIT_2023-11-01
S000092,ATT_NIT,7.141,80.098,AttanagaluOya,2023-11-23,2023-11-17,2023-11-29,1,high,flood_peak,ATT_NIT_20231122,3.2,ATT_NIT_2023-11-23
S000093,ATT_NIT,7.141,80.098,AttanagaluOya,2023-11-19,2023-11-13,2023-11-21,1,high,pre_event,ATT_NIT_20231122,3.2,ATT_NIT_2023-11-19
S000094,ATT_NIT,7.141,80.098,AttanagaluOya,2024-05-28,2024-05-22,2024-06-03,1,high,flood_peak,ATT_NIT_20240527,3.2,ATT_NIT_2024-05-28
S000095,ATT_NIT,7.141,80.098,AttanagaluOya,2024-05-24,2024-05-18,2024-05-26,1,high,pre_event,ATT_NIT_20240527,3.2,ATT_NIT_2024-05-24
S000096,ATT_NIT,7.141,80.098,AttanagaluOya,2024-11-30,2024-11-24,2024-12-06,1,high,flood_peak,ATT_NIT_20241128,3.2,ATT_NIT_2024-11-30
S000097,ATT_NIT,7.141,80.098,AttanagaluOya,2024-11-25,2024-11-19,2024-11-27,1,high,pre_event,ATT_NIT_20241128,3.2,ATT_NIT_2024-11-25
S000098,ATT_VEY,7.155,80.061,AttanagaluOya,2015-10-14,2015-10-08,2015-10-20,1,high,flood_peak,ATT_VEY_20151013,3.2,ATT_VEY_2015-10-14
S000099,ATT_VEY,7.155,80.061,AttanagaluOya,2015-10-10,2015-10-04,2015-10-12,1,high,pre_event,ATT_VEY_20151013,3.2,ATT_VEY_2015-10-10
S000100,ATT_VEY,7.155,80.061,AttanagaluOya,2015-10-18,2015-10-12,2015-10-24,1,severe,flood_peak,ATT_VEY_20151018,3.2,ATT_VEY_2015-10-18
S000101,ATT_VEY,7.155,80.061,AttanagaluOya,2015-10-15,2015-10-09,2015-10-17,1,severe,pre_event,ATT_VEY_20151018,3.2,ATT_VEY_2015-10-15
S000102,ATT_VEY,7.155,80.061,AttanagaluOya,2016-05-15,2016-05-09,2016-05-21,1,severe,flood_peak,ATT_VEY_20160515,3.2,ATT_VEY_2016-05-15
S000103,ATT_VEY,7.155,80.061,AttanagaluOya,2016-05-12,2016-05-06,2016-05-14,1,severe,pre_event,ATT_VEY_20160515,3.2,ATT_VEY_2016-05-12
S000104,ATT_VEY,7.155,80.061,AttanagaluOya,2017-10-31,2017-10-25,2017-11-06,1,severe,flood_peak,ATT_VEY_20171031,3.2,ATT_VEY_2017-10-31
S000105,ATT_VEY,7.155,80.061,AttanagaluOya,2017-10-28,2017-10-22,2017-10-30,1,severe,pre_event,ATT_VEY_20171031,3.2,ATT_VEY_2017-10-28
S000106,ATT_VEY,7.155,80.061,AttanagaluOya,2018-09-29,2018-09-23,2018-10-05,1,high,flood_peak,ATT_VEY_20180929,3.2,ATT_VEY_2018-09-29
S000107,ATT_VEY,7.155,80.061,AttanagaluOya,2018-09-26,2018-09-20,2018-09-28,1,high,pre_event,ATT_VEY_20180929,3.2,ATT_VEY_2018-09-26
S000108,ATT_VEY,7.155,80.061,AttanagaluOya,2019-10-16,2019-10-10,2019-10-22,1,severe,flood_peak,ATT_VEY_20191015,3.2,ATT_VEY_2019-10-16
S000109,ATT_VEY,7.155,80.061,AttanagaluOya,2019-10-12,2019-10-06,2019-10-14,1,severe,pre_event,ATT_VEY_20191015,3.2,ATT_VEY_2019-10-12
S000110,ATT_VEY,7.155,80.061,AttanagaluOya,2020-11-15,2020-11-09,2020-11-21,1,high,flood_peak,ATT_VEY_20201115,3.2,ATT_VEY_2020-11-15
S000111,ATT_VEY,7.155,80.061,AttanagaluOya,2020-11-12,2020-11-06,2020-11-14,1,high,pre_event,ATT_VEY_20201115,3.2,ATT_VEY_2020-11-12
S000112,ATT_VEY,7.155,80.061,AttanagaluOya,2021-01-13,2021-01-07,2021-01-19,1,high,flood_peak,ATT_VEY_20210113,3.2,ATT_VEY_2021-01-13
S000113,ATT_VEY,7.155,80.061,AttanagaluOya,2021-01-10,2021-01-04,2021-01-12,1,high,pre_event,ATT_VEY_20210113,3.2,ATT_VEY_2021-01-10
S000114,ATT_VEY,7.155,80.061,AttanagaluOya,2021-11-09,2021-11-03,2021-11-15,1,severe,flood_peak,ATT_VEY_20211108,3.2,ATT_VEY_2021-11-09
S000115,ATT_VEY,7.155,80.061,AttanagaluOya,2021-11-05,2021-10-30,2021-11-07,1,severe,pre_event,ATT_VEY_20211108,3.2,ATT_VEY_2021-11-05
S000116,ATT_VEY,7.155,80.061,AttanagaluOya,2023-10-21,2023-10-15,2023-10-27,1,high,flood_peak,ATT_VEY_20231021,3.2,ATT_VEY_2023-10-21
S000117,ATT_VEY,7.155,80.061,AttanagaluOya,2023-10-18,2023-10-12,2023-10-20,1,high,pre_event,ATT_VEY_20231021,3.2,ATT_VEY_2023-10-18
S000118,ATT_VEY,7.155,80.061,AttanagaluOya,2023-11-05,2023-10-30,2023-11-11,1,high,flood_peak,ATT_VEY_20231105,3.2,ATT_VEY_2023-11-05
S000119,ATT_VEY,7.155,80.061,AttanagaluOya,2023-11-02,2023-10-27,2023-11-04,1,high,pre_event,ATT_VEY_20231105,3.2,ATT_VEY_2023-11-02
S000120,ATT_VEY,7.155,80.061,AttanagaluOya,2023-11-23,2023-11-17,2023-11-29,1,high,flood_peak,ATT_VEY_20231122,3.2,ATT_VEY_2023-11-23
S000121,ATT_VEY,7.155,80.061,AttanagaluOya,2023-11-19,2023-11-13,2023-11-21,1,high,pre_event,ATT_VEY_20231122,3.2,ATT_VEY_2023-11-19
S000122,ATT_VEY,7.155,80.061,AttanagaluOya,2024-11-28,2024-11-22,2024-12-04,1,high,flood_peak,ATT_VEY_20241127,3.2,ATT_VEY_2024-11-28
S000123,ATT_VEY,7.155,80.061,AttanagaluOya,2024-11-24,2024-11-18,2024-11-26,1,high,pre_event,ATT_VEY_20241127,3.2,ATT_VEY_2024-11-24
S000124,BAT_BAT,7.717,81.7,Batticaloa,2015-01-01,2014-12-26,2015-01-07,1,high,flood_peak,BAT_BAT_20141220,3.2,BAT_BAT_2015-01-01
S000125,BAT_BAT,7.717,81.7,Batticaloa,2014-12-29,2014-12-23,2014-12-31,1,high,pre_event,BAT_BAT_20141220,3.2,BAT_BAT_2014-12-29
S000126,BAT_BAT,7.717,81.7,Batticaloa,2015-10-29,2015-10-23,2015-11-04,1,high,flood_peak,BAT_BAT_20151027,3.2,BAT_BAT_2015-10-29
S000127,BAT_BAT,7.717,81.7,Batticaloa,2015-10-24,2015-10-18,2015-10-26,1,high,pre_event,BAT_BAT_20151027,3.2,BAT_BAT_2015-10-24
S000128,BAT_BAT,7.717,81.7,Batticaloa,2018-11-07,2018-11-01,2018-11-13,1,severe,flood_peak,BAT_BAT_20181106,3.2,BAT_BAT_2018-11-07
S000129,BAT_BAT,7.717,81.7,Batticaloa,2018-11-03,2018-10-28,2018-11-05,1,severe,pre_event,BAT_BAT_20181106,3.2,BAT_BAT_2018-11-03
S000130,BAT_BAT,7.717,81.7,Batticaloa,2022-12-27,2022-12-21,2023-01-02,1,high,flood_peak,BAT_BAT_20221227,3.2,BAT_BAT_2022-12-27
S000131,BAT_BAT,7.717,81.7,Batticaloa,2022-12-24,2022-12-18,2022-12-26,1,high,pre_event,BAT_BAT_20221227,3.2,BAT_BAT_2022-12-24
S000132,BAT_BAT,7.717,81.7,Batticaloa,2023-12-18,2023-12-12,2023-12-24,1,high,flood_peak,BAT_BAT_20231218,3.2,BAT_BAT_2023-12-18
S000133,BAT_BAT,7.717,81.7,Batticaloa,2023-12-15,2023-12-09,2023-12-17,1,high,pre_event,BAT_BAT_20231218,3.2,BAT_BAT_2023-12-15
S000134,BAT_BAT,7.717,81.7,Batticaloa,2024-11-28,2024-11-22,2024-12-04,1,severe,flood_peak,BAT_BAT_20241127,3.2,BAT_BAT_2024-11-28
S000135,BAT_BAT,7.717,81.7,Batticaloa,2024-11-24,2024-11-18,2024-11-26,1,severe,pre_event,BAT_BAT_20241127,3.2,BAT_BAT_2024-11-24
S000136,BAT_BAT,7.717,81.7,Batticaloa,2024-12-19,2024-12-13,2024-12-25,1,high,flood_peak,BAT_BAT_20241219,3.2,BAT_BAT_2024-12-19
S000137,BAT_BAT,7.717,81.7,Batticaloa,2024-12-16,2024-12-10,2024-12-18,1,high,pre_event,BAT_BAT_20241219,3.2,BAT_BAT_2024-12-16
S000138,BAT_ERA,7.771,81.601,Batticaloa,2015-01-01,2014-12-26,2015-01-07,1,high,flood_peak,BAT_ERA_20141220,3.2,BAT_ERA_2015-01-01
S000139,BAT_ERA,7.771,81.601,Batticaloa,2014-12-29,2014-12-23,2014-12-31,1,high,pre_event,BAT_ERA_20141220,3.2,BAT_ERA_2014-12-29
S000140,BAT_ERA,7.771,81.601,Batticaloa,2015-10-29,2015-10-23,2015-11-04,1,high,flood_peak,BAT_ERA_20151028,3.2,BAT_ERA_2015-10-29
S000141,BAT_ERA,7.771,81.601,Batticaloa,2015-10-25,2015-10-19,2015-10-27,1,high,pre_event,BAT_ERA_20151028,3.2,BAT_ERA_2015-10-25
S000142,BAT_ERA,7.771,81.601,Batticaloa,2018-11-07,2018-11-01,2018-11-13,1,severe,flood_peak,BAT_ERA_20181106,3.2,BAT_ERA_2018-11-07
S000143,BAT_ERA,7.771,81.601,Batticaloa,2018-11-03,2018-10-28,2018-11-05,1,severe,pre_event,BAT_ERA_20181106,3.2,BAT_ERA_2018-11-03
S000144,BAT_ERA,7.771,81.601,Batticaloa,2020-12-24,2020-12-18,2020-12-30,1,high,flood_peak,BAT_ERA_20201224,3.2,BAT_ERA_2020-12-24
S000145,BAT_ERA,7.771,81.601,Batticaloa,2020-12-21,2020-12-15,2020-12-23,1,high,pre_event,BAT_ERA_20201224,3.2,BAT_ERA_2020-12-21
S000146,BAT_ERA,7.771,81.601,Batticaloa,2022-12-27,2022-12-21,2023-01-02,1,high,flood_peak,BAT_ERA_20221227,3.2,BAT_ERA_2022-12-27
S000147,BAT_ERA,7.771,81.601,Batticaloa,2022-12-24,2022-12-18,2022-12-26,1,high,pre_event,BAT_ERA_20221227,3.2,BAT_ERA_2022-12-24
S000148,BAT_ERA,7.771,81.601,Batticaloa,2023-12-18,2023-12-12,2023-12-24,1,high,flood_peak,BAT_ERA_20231218,3.2,BAT_ERA_2023-12-18
S000149,BAT_ERA,7.771,81.601,Batticaloa,2023-12-15,2023-12-09,2023-12-17,1,high,pre_event,BAT_ERA_20231218,3.2,BAT_ERA_2023-12-15
S000150,BAT_ERA,7.771,81.601,Batticaloa,2024-11-28,2024-11-22,2024-12-04,1,severe,flood_peak,BAT_ERA_20241127,3.2,BAT_ERA_2024-11-28
S000151,BAT_ERA,7.771,81.601,Batticaloa,2024-11-24,2024-11-18,2024-11-26,1,severe,pre_event,BAT_ERA_20241127,3.2,BAT_ERA_2024-11-24
S000152,BAT_ERA,7.771,81.601,Batticaloa,2024-12-19,2024-12-13,2024-12-25,1,high,flood_peak,BAT_ERA_20241219,3.2,BAT_ERA_2024-12-19
