node_id,name,basin,lat,lon,position,downstream_of,zone,elevation_m,snap_lat,snap_lon
GIN_THA,Thawalama,Gin,6.331,80.331,upstream,GIN_NEL,wet,316.87,6.331,80.331
NIL_URA,Urubokka,Nilwala,6.231,80.601,upstream,NIL_PIT,wet,60.75,6.231,80.601
MAH_VIC,Victoria reservoir (Teldeniya),Mahaweli,7.241,80.781,mid,MAH_PER,wet,681.44,7.241,80.781
MAH_POL,Polonnaruwa town,Mahaweli,7.94,81.001,downstream,MAH_MHY,dry,51.07,7.94,81.001
WAL_UDA,Udawalawe reservoir,Walawe,6.441,80.881,upstream,WAL_EMB,intermediate,316.87,6.441,80.881
ATT_VEY,Veyangoda,AttanagaluOya,7.155,80.061,upstream,ATT_NIT,wet,123.66,7.155,80.061
DED_WAR,Wariyapola,DeduruOya,7.621,80.231,upstream,DED_KUR,intermediate,70.83,7.621,80.231
COL_KOT,Kotte (Diyawanna low-lying),ColomboMetro,6.888,79.901,outlet,,wet,123.66,6.888,79.901
COL_KOL,Kolonnawa,ColomboMetro,6.933,79.891,outlet,COL_KOT,wet,123.66,6.933,79.891
KEL_RUW,Ruwanwella,Kelani,7.041,80.251,mid,KEL_KIT,wet,123.66,7.041,80.251
MAH_KAN,Kandy city (Mahaweli mid),Mahaweli,7.291,80.635,mid,MAH_PER,wet,296.6,7.291,80.635
BAT_ERA,Eravur,Batticaloa,7.771,81.601,mid,BAT_VAL,dry,2.85,7.771,81.601
